StartTime	2015/09/23 17:30:31
FinishTime	2015/09/23 17:31:42
ElapsedTime	71.000000
/home/daisuke/git/ReinforcementLearning/log/EV3LineTracer_20150923170738_10Setting_20150923170739.log
0	1.000000
1	0.916667	0.041667	0.041667
2	0.041667	0.916667	0.041667
3	0.041667	0.041667	0.916667
4	0.041667	0.041667	0.916667
5	0.041667	0.041667	0.916667
6	0.041667	0.041667	0.916667
5563
0	2	1	0.000000
1	2	1	0.000000
2	2	1	0.000000
3	2	1	0.000000
4	2	1	0.000000
5	2	1	0.000000
6	2	1	0.000000
7	2	1	0.000000
8	2	1	0.000000
9	2	1	0.000000
10	2	1	0.000000
11	2	1	0.000000
12	2	1	0.000000
13	2	1	0.000000
14	2	2	0.000000
15	2	1	0.000000
16	2	1	0.000000
17	2	1	0.000000
18	2	1	0.000000
19	2	1	0.000000
20	2	1	0.000000
21	2	1	0.000000
22	2	1	0.000000
23	2	1	0.000000
24	2	0	0.000000
25	2	1	0.000000
26	2	1	0.000000
27	2	1	0.000000
28	2	1	0.000000
29	2	1	0.000000
30	2	1	0.000000
31	2	1	0.000000
32	2	1	0.000000
33	2	1	0.000000
34	2	1	0.000000
35	3	2	0.000000
36	3	2	0.000000
37	3	2	0.000000
38	3	2	0.000000
39	3	2	0.000000
40	3	2	0.000000
41	3	0	0.000000
42	3	2	0.000000
43	3	2	0.000000
44	2	1	0.000000
45	2	1	0.000000
46	2	1	0.000000
47	2	1	0.000000
48	2	1	0.000000
49	2	1	0.000000
50	2	1	0.000000
51	2	1	0.000000
52	2	1	0.000000
53	2	1	0.000000
54	2	2	0.000000
55	2	1	0.000000
56	2	2	0.000000
57	3	2	0.000000
58	3	2	0.000000
59	2	1	0.000000
60	2	0	0.000000
61	2	1	0.000000
62	2	1	0.000000
63	2	1	0.000000
64	2	1	0.000000
65	2	1	0.000000
66	2	1	0.000000
67	2	1	0.000000
68	2	1	0.000000
69	2	1	0.000000
70	2	1	0.000000
71	2	1	0.000000
72	2	1	0.000000
73	2	1	0.000000
74	2	1	0.000000
75	2	1	0.000000
76	2	2	0.000000
77	2	0	0.000000
78	2	0	0.000000
79	2	1	0.000000
80	2	0	0.000000
81	2	1	0.000000
82	2	1	0.000000
83	2	1	0.000000
84	2	1	0.000000
85	2	1	0.000000
86	2	1	0.000000
87	2	1	0.000000
88	2	1	0.000000
89	2	1	0.000000
90	2	1	0.000000
91	2	1	0.000000
92	2	1	0.000000
93	2	1	0.000000
94	2	1	0.000000
95	2	1	0.000000
96	1	0	0.000000
97	2	1	0.000000
98	2	1	0.000000
99	1	0	0.000000
100	2	1	0.000000
101	2	1	0.000000
102	1	0	0.000000
103	2	1	0.000000
104	2	1	0.000000
105	2	1	0.000000
106	2	0	0.000000
107	2	1	0.000000
108	2	1	0.000000
109	2	1	0.000000
110	2	1	0.000000
111	2	1	0.000000
112	2	1	0.000000
113	2	0	0.000000
114	2	1	0.000000
115	2	1	0.000000
116	2	1	0.000000
117	2	1	0.000000
118	2	1	0.000000
119	2	1	0.000000
120	2	1	0.000000
121	2	1	0.000000
122	2	1	0.000000
123	2	1	0.000000
124	2	1	0.000000
125	2	1	0.000000
126	2	1	0.000000
127	2	1	0.000000
128	2	1	0.000000
129	2	1	0.000000
130	2	1	0.000000
131	2	1	0.000000
132	2	1	0.000000
133	2	1	0.000000
134	2	1	0.000000
135	2	1	0.000000
136	2	1	0.000000
137	2	1	0.000000
138	2	1	0.000000
139	2	2	0.000000
140	2	1	0.000000
141	2	2	0.000000
142	2	2	0.000000
143	2	1	0.000000
144	2	1	0.000000
145	2	1	0.000000
146	2	1	0.000000
147	2	1	0.000000
148	2	1	0.000000
149	2	1	0.000000
150	2	1	0.000000
