StartTime	2015/09/23 18:35:26
FinishTime	2015/09/23 18:35:31
ElapsedTime	5.000000
/home/daisuke/git/ReinforcementLearning/log/EV3LineTracer_20150923170738_10Setting_20150923170739.log
0	1.000000
1	0.041667	0.041667	0.916667
2	0.041667	0.041667	0.916667
3	0.041667	0.041667	0.916667
4	0.916667	0.041667	0.041667
5	0.041667	0.916667	0.041667
6	0.041667	0.916667	0.041667
120
0	4	0	0.000000
1	4	0	0.000000
2	4	0	0.000000
3	4	0	0.000000
4	4	0	0.000000
5	4	0	0.000000
6	4	0	0.000000
7	4	0	0.000000
8	4	0	0.000000
9	4	0	0.000000
10	4	0	0.000000
11	4	0	0.000000
12	4	0	0.000000
13	4	0	0.000000
14	4	0	0.000000
15	4	0	0.000000
16	4	0	0.000000
17	4	0	0.000000
18	4	0	0.000000
19	5	1	0.000000
20	4	0	0.000000
21	4	0	0.000000
22	4	0	0.000000
23	4	0	0.000000
24	4	0	0.000000
25	4	0	0.000000
26	4	0	0.000000
27	4	0	0.000000
28	4	0	0.000000
29	4	0	0.000000
30	4	0	0.000000
31	4	0	0.000000
32	4	0	0.000000
33	4	0	0.000000
34	4	0	0.000000
35	4	0	0.000000
36	4	0	0.000000
37	4	0	0.000000
38	4	0	0.000000
39	4	0	0.000000
40	4	0	0.000000
41	4	0	0.000000
42	4	2	0.000000
43	4	0	0.000000
44	4	0	0.000000
45	4	0	0.000000
46	4	2	0.000000
47	4	0	0.000000
48	4	1	0.000000
49	4	0	0.000000
50	4	0	0.000000
51	4	0	0.000000
52	4	2	0.000000
53	4	0	0.000000
54	4	0	0.000000
55	4	0	0.000000
56	4	0	0.000000
57	4	0	0.000000
58	4	0	0.000000
59	4	0	0.000000
60	4	0	0.000000
61	4	0	0.000000
62	4	0	0.000000
63	4	0	0.000000
64	4	0	0.000000
65	4	0	0.000000
66	4	0	0.000000
67	4	0	0.000000
68	4	0	0.000000
69	4	2	0.000000
70	4	0	0.000000
71	4	0	0.000000
72	4	0	0.000000
73	4	0	0.000000
74	4	0	0.000000
75	4	0	0.000000
76	4	0	0.000000
77	4	0	0.000000
78	4	0	0.000000
79	4	0	0.000000
80	4	0	0.000000
81	4	0	0.000000
82	4	0	0.000000
83	4	0	0.000000
84	4	0	0.000000
85	4	0	0.000000
86	4	0	0.000000
87	4	0	0.000000
88	4	0	0.000000
89	3	2	0.000000
90	4	0	0.000000
91	4	0	0.000000
92	4	0	0.000000
93	4	0	0.000000
94	4	0	0.000000
95	3	2	0.000000
96	3	2	0.000000
97	3	2	0.000000
98	3	2	0.000000
99	3	2	0.000000
100	3	2	0.000000
101	3	2	0.000000
102	3	2	0.000000
103	3	0	0.000000
104	3	2	0.000000
105	3	2	0.000000
106	3	2	0.000000
107	3	2	0.000000
108	3	2	0.000000
109	3	2	0.000000
110	3	2	0.000000
111	3	2	0.000000
112	3	2	0.000000
113	3	2	0.000000
114	3	2	0.000000
115	3	2	0.000000
116	3	2	0.000000
117	3	2	0.000000
118	3	2	600.000000
119	0	0	0.000000
